Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,COGS,Gross margin percentage,Gross income,Rating,Customer Age,Discount,Membership duration,Loyalty points,Feedback,Product
754-24-1409,A,Mandalay,Normal,Female,Health and beauty,68.33,6,31.36,92.04,2021-02-02,18:49,Cash,772.95,4.76,12.0,7.5,,26.3,,96,Good,Lotion
859-45-5012,C,Yangon,Normal,Female,Health and beauty,63.33,10,22.6,138.21,2021-01-04,20:43,Ewallet,280.5,4.76,40.87,9.6,,0.0,,64,good,Lotion
328-27-2679,B,Naypyitaw,Normal,FEMALE,Home and lifestyle,91.94,4,31.61,220.88,2021-01-09,10:07,Cash,290.17,4.76,7.69,9.6,44.0,0.0,4.0,38,good,Chair
792-79-2424,A,Naypyitaw,Member,male,Electronic accessories,15.9,8,5.09,345.54,2021-01-04,10:24,Cash,618.88,4.76,30.63,4.5,40.0,27.52,39.0,24,good,Headphones
704-64-1520,C,Yangon,Member,Female,Sports and travel,37.44,1,23.05,506.62,2021-01-01,15:06,Ewallet,765.58,4.76,13.59,,,0.0,,87,Poor,Travel Pillow
130-21-4582,A,Naypyitaw,Member,FEMALE,Electronic accessories,40.38,10,49.57,957.27,2021-03-02,11:58,Ewallet,291.37,4.76,19.43,6.4,,0.0,,79,Poor,Charger
338-74-1434,A,Naypyitaw,Normal,male,Fashion accessories,11.77,4,,428.31,2021-07-02,11:02,cash,36.34,4.76,39.9,4.9,34.0,0.0,,81,very good,Sunglasses
674-35-9928,B,Yangon,Member,male,Home and lifestyle,39.35,7,3.8,151.11,2021-09-02,10:39,Credit card,75.95,4.76,13.84,,,4.37,15.0,10,Poor,Cushion
529-38-8359,A,Mandalay,Normal,male,Food and beverages,51.48,5,35.29,378.97,2021-01-02,20:02,CASH,159.06,4.76,45.4,4.1,50.0,0.0,,0,Excellent,Biscuits
703-45-1106,B,Naypyitaw,Member,male,Electronic accessories,87.7,8,8.57,673.08,2021-01-09,16:08,Credit card,920.72,4.76,3.58,4.3,,0.0,38.0,52,Excellent,Power Bank
877-30-7924,C,Mandalay,Normal,FEMALE,Sports and travel,61.12,4,19.42,816.57,2021-01-04,20:21,Cash,457.13,4.76,29.79,8.9,,0.0,47.0,46,EXCELLENT,Sneakers
448-45-3547,C,Mandalay,Member,FEMALE,Electronic accessories,91.13,10,42.84,172.3,2021-01-04,19:47,Cash,311.68,4.76,29.71,5.5,30.0,0.0,23.0,57,EXCELLENT,Charger
